timestamp,wid,email,hpdeathlyhollows1,hpdeathlyhollows1_rt,hpdeathlyhollows1_conf,hpdeathlyhollows1_watched,logan,logan_rt,logan_conf,logan_watched,thehelp,thehelp_rt,thehelp_conf,thehelp_watched,mollysgame,mollysgame_rt,mollysgame_conf,mollysgame_watched,thesocialnetwork,thesocialnetwork_rt,thesocialnetwork_conf,thesocialnetwork_watched,astarisborn,astarisborn_rt,astarisborn_conf,astarisborn_watched,readyplayerone,readyplayerone_rt,readyplayerone_conf,readyplayerone_watched,venom,venom_rt,venom_conf,venom_watched,theequalizer2,theequalizer2_rt,theequalizer2_conf,theequalizer2_watched,foxcatcher,foxcatcher_rt,foxcatcher_conf,foxcatcher_watched,lifeasweknowit,lifeasweknowit_rt,lifeasweknowit_conf,lifeasweknowit_watched,kickass2,kickass2_rt,kickass2_conf,kickass2_watched,sing,sing_rt,sing_conf,sing_watched,passengers,passengers_rt,passengers_conf,passengers_watched,warfortheplanetofapes,warfortheplanetofapes_rt,warfortheplanetofapes_conf,warfortheplanetofapes_watched,thedanishgirl,thedanishgirl_rt,thedanishgirl_conf,thedanishgirl_watched,theniceguys,theniceguys_rt,theniceguys_conf,theniceguys_watched,sanandreas,sanandreas_rt,sanandreas_conf,sanandreas_watched,ageofultron,ageofultron_rt,ageofultron_conf,ageofultron_watched,insidious,insidious_rt,insidious_conf,insidious_watched,theshallows,theshallows_rt,theshallows_conf,theshallows_watched,ozthegreat,ozthegreat_rt,ozthegreat_conf,ozthegreat_watched,johnnyenglishreborn,johnnyenglishreborn_rt,johnnyenglishreborn_conf,johnnyenglishreborn_watched,tombraider,tombraider_rt,tombraider_conf,tombraider_watched,salt,salt_rt,salt_conf,salt_watched,hottubtimemachine,hottubtimemachine_rt,hottubtimemachine_conf,hottubtimemachine_watched,robocop,robocop_rt,robocop_conf,robocop_watched,agooddaytodiehard,agooddaytodiehard_rt,agooddaytodiehard_conf,agooddaytodiehard_watched,ghostrider,ghostrider_rt,ghostrider_conf,ghostrider_watched,inception,inception_rt,inception_conf,inception_watched
9/18/2019,hello,undefined,like,987.4,5,watched,dunno,1578.595,4,not,like,1148.68,5,watched,like,1343.915,5,not,like,397,5,watched,like,923.425,5,watched,dunno,1117.875,5,not,dunno,1149.83,4,not,dunno,1278.57,5,not,dunno,1772.845,2,not,dunno,2355.905,5,not,dunno,1020.355,5,not,dunno,1101.32,3,not,like,1271.73,4,not,like,2098.32,5,watched,like,510.315,5,watched,dislike,469.62,3,not,dunno,2266.99,5,not,like,1174.835,5,watched,like,1312.46,3,not,like,2249.975,5,watched,dislike,1683.615,3,not,dislike,2015.585,5,not,dunno,1149.71,5,not,like,949.615,5,watched,dunno,1529.99,5,not,dunno,1650.97,5,not,dunno,1853.195,4,not,dislike,931.07,3,not,like,980.6,5,watched
9/18/2019,testing,undefined,like,2898.335,4,watched,dunno,2339.715,3,not,dunno,4835.01,3,not,dunno,2807.7,3,not,dislike,4531.305,4,watched,like,1740.085,3,not,like,1871.85,5,watched,like,3440.235,3,not,dunno,2471.2,3,not,dunno,5053.815,3,not,dunno,541.6549999,2,not,like,1551.625,3,not,dunno,2389.51,3,not,like,2955.87,3,watched,like,1732.305,4,watched,dislike,1535.49,3,not,dislike,1740.39,4,not,dunno,2282.525,3,not,like,1395.71,3,watched,like,2364.56,4,watched,dunno,2175.585,3,not,dunno,2955.565,3,not,dunno,607.915,3,not,like,1272.415,4,not,dislike,3883.75,3,watched,dislike,4268.685,3,not,like,886.895,3,not,like,1707.965,3,not,dunno,2134.615,3,not,like,459.955,4,watched
9/18/2019,A2HSCKH5NKN5LP,undefined,like,222.4249999,5,watched,like,1375.82,5,watched,dislike,230.71,3,not,like,208.72,5,watched,dislike,600.9999999,1,not,dislike,266.845,3,not,dunno,254.0849999,3,watched,like,973.735,5,watched,like,1202.875,5,watched,dislike,297.8449999,1,not,dislike,815.4699999,5,not,like,235.035,5,watched,dunno,1858.81,1,not,dislike,780.075,1,not,like,1191.035,5,watched,dunno,974.83,1,not,like,1035.49,5,watched,dislike,1077.92,5,watched,like,1080.375,5,watched,dunno,1604.99,1,not,dunno,867.0300001,1,not,dislike,497.11,1,not,like,570.97,1,not,dunno,290.1300001,1,not,dunno,513.885,1,watched,dislike,937.87,5,not,like,986.1000001,5,watched,like,214.88,3,watched,dislike,978.1899999,1,not,dislike,298.78,5,watched
9/18/2019,A1OSMDO6QB4J7V,undefined,like,3503.795,3,watched,like,1879.905,5,watched,like,943.945,5,watched,dunno,1663.835,1,not,dunno,3391.71,1,not,dislike,3087.83,4,watched,dislike,1975.7,5,watched,like,1215.955,5,watched,dunno,1856.04,1,not,dunno,1551.91,1,not,dunno,1440.23,1,not,dunno,2047.91,1,not,dislike,1975.915,5,watched,like,1903.945,4,watched,like,1799.645,4,watched,dunno,1663.96,1,not,dunno,1664.05,1,not,dunno,2175.68,1,not,like,1351.91,5,watched,like,1407.755,5,watched,dunno,1735.725,1,not,dunno,1431.805,1,not,like,2383.905,3,watched,like,1391.86,4,watched,dunno,1679.99,1,not,like,2080.015,4,watched,dunno,1799.88,1,not,dunno,1847.905,1,not,dunno,1199.82,1,not,like,1471.625,5,watched
9/18/2019,AFZKP8TAXAUCR,undefined,like,2281,4,watched,dunno,1139,1,not,dunno,1203,1,not,dunno,735,1,not,like,1546,1,not,dunno,735,1,not,dunno,983,3,not,dunno,875,1,not,dunno,1095,1,not,dunno,3782,4,watched,dunno,751,2,not,dunno,1422,3,not,dunno,2374,1,not,dunno,514,3,watched,dunno,827,1,not,like,2282,5,watched,dunno,3733,3,not,dunno,718,1,not,dunno,2390,3,watched,dunno,2249,1,not,dunno,1764,1,not,dislike,2454,3,watched,dunno,1140,1,not,dunno,921,1,not,dunno,1548,2,watched,dunno,2251,1,not,dunno,641,1,not,dunno,750,1,not,dunno,781,1,not,dunno,625,5,watched
9/18/2019,A14XKU3PZUL2T6,undefined,dunno,1087.835,2,watched,like,856.09,1,watched,like,784.09,1,not,dislike,663.765,1,not,like,832.015,1,watched,dislike,680.14,1,not,like,456.24,1,watched,dislike,720.105,1,not,dislike,823.985,1,not,dislike,615.82,1,not,dislike,855.925,1,not,like,695.965,1,watched,like,7976.16,1,watched,like,1719.82,2,watched,like,639.91,1,not,like,791.985,1,not,dislike,1136.085,1,not,dunno,624.565,1,not,dislike,696.01,1,not,like,856.02,1,not,dunno,864.15,1,watched,dislike,856,1,not,like,944.05,1,watched,dislike,847.615,1,not,dunno,960.175,1,not,dislike,663.755,1,watched,like,1167.93,1,not,like,895.94,1,watched,like,735.975,1,watched,like,1015.79,1,watched
9/18/2019,A3PBA2ZHVZFGA3,undefined,dunno,1632.08,3,not,like,870.865,3,not,like,1611.995,3,not,dunno,944.03,3,not,dislike,1319.905,3,not,dislike,520.875,3,watched,like,991.94,3,not,like,986.125,3,watched,like,1287.1,2,watched,like,1043.74,3,watched,like,1183.04,5,not,like,684.055,3,not,like,2355.975,3,not,like,624.925,5,not,dunno,1341,2,not,like,582.975,3,not,like,1120.88,4,watched,like,964.91,3,not,like,1270.035,3,watched,dunno,1150.925,4,watched,like,1238.855,4,not,like,1298.085,3,watched,dunno,703.955,3,not,like,1082.955,4,watched,like,1305.89,3,watched,like,571.935,3,not,like,925.925,3,not,like,385.165,5,watched,like,432.875,2,not,like,1003.94,4,not
9/18/2019,A4J4GGMKJ68L0,undefined,like,446.175,5,watched,like,1028.025,5,watched,dislike,1212.16,1,not,dislike,938.285,1,not,dislike,1817.91,1,not,dislike,785.76,1,not,like,1129.925,5,watched,like,991.75,5,watched,like,925.96,5,watched,dislike,622.275,1,not,dislike,785.9,1,not,like,1060.22,5,watched,dislike,1893.99,1,not,dislike,972.155,1,not,dislike,919.92,5,watched,dislike,731.915,1,not,dislike,1697.575,1,not,dislike,739.78,1,not,like,292,5,watched,like,983.855,5,watched,dislike,1641.725,1,not,dislike,948.04,1,not,dislike,317.96,1,not,like,1109.875,5,watched,dislike,905.95,5,watched,dislike,855.845,1,not,dislike,1032.09,1,not,like,1599.935,5,watched,like,1234.02,5,watched,like,1435.535,5,watched
9/18/2019,A1JVWOBGNA6KJT,undefined,like,1849,5,watched,dunno,1194,5,not,dunno,1340,5,not,like,1381,3,watched,like,2546,4,watched,dunno,1300,5,not,dunno,1809,5,not,like,1884,4,watched,dunno,1626,5,not,dunno,2562,5,not,dunno,2147,5,not,like,434,5,watched,dislike,2797,3,watched,dunno,1950,5,not,like,2062,5,watched,dunno,1276,5,not,dunno,3380,5,not,like,1568,2,watched,like,368,5,watched,dunno,1398,5,not,like,1759,5,watched,dislike,349,5,watched,dunno,1325,5,not,like,422,4,watched,dunno,1081,5,not,dunno,1092,5,not,like,810,5,watched,like,1076,3,watched,dunno,1265,5,not,like,1480,5,watched
9/18/2019,A1YSYI926BBOHW,undefined,like,399.75,5,watched,dislike,340.31,5,watched,dunno,1952.73,1,not,like,579.155,3,not,dislike,259.64,5,watched,dunno,1321.03,3,watched,like,2791.945,5,watched,like,15158.245,4,watched,dislike,1893.255,2,not,dunno,576.295,1,watched,like,481.99,5,watched,like,1354.965,5,watched,like,369.62,5,watched,like,1909.785,4,watched,like,1605.745,5,watched,dunno,890.21,1,not,dunno,1949.38,1,not,dislike,436.47,1,watched,like,1200.26,5,watched,like,324.405,5,watched,like,1582.44,5,watched,dislike,2006.185,5,watched,dislike,642.77,5,watched,like,800.895,4,watched,like,1248.52,5,watched,dislike,1303.905,5,watched,dislike,977.505,5,watched,dislike,960.905,5,watched,dislike,1023.1,5,watched,like,320.335,5,watched
